time,seconds_elapsed,z,y,x
1782455495604203800,0.075203857421875,0.19161875545978546,-0.6502922773361206,0.46773213148117065
1782455495614227700,0.085227783203125,0.09385144710540771,-0.5536645650863647,0.4079105854034424
1782455495624252700,0.095252685546875,-0.024271439760923386,-0.4407806992530823,0.2779218554496765
1782455495634277600,0.105277587890625,-0.10780920833349228,-0.34014517068862915,0.13685844838619232
1782455495644301600,0.115301513671875,-0.1348598748445511,-0.21868175268173218,0.004534943029284477
1782455495654326800,0.125326904296875,-0.11891660839319229,-0.09257468581199646,-0.12933523952960968
1782455495664350700,0.135350830078125,-0.07348383963108063,0.01822453923523426,-0.2574824392795563
1782455495674375700,0.145375732421875,-0.020022479817271233,0.03386421874165535,-0.33405178785324097
1782455495684400600,0.155400634765625,0.06658108532428741,-0.07411573082208633,-0.3840950131416321
1782455495694424600,0.165424560546875,0.18289171159267426,-0.3172447681427002,-0.42741158604621887
1782455495704449500,0.175449462890625,0.3087363541126251,-0.5310117602348328,-0.5299593210220337
1782455495714473700,0.1854736328125,0.41418448090553284,-0.6834553480148315,-0.6798492074012756
1782455495724498700,0.195498779296875,0.42764177918434143,-0.8044261932373047,-0.7933509349822998
1782455495734523600,0.205523681640625,0.3504958748817444,-0.8733453750610352,-0.8467878103256226
1782455495744547600,0.215547607421875,0.25294527411460876,-0.8973814845085144,-0.8312609195709229
1782455495754572500,0.225572509765625,0.1724483221769333,-0.7983657121658325,-0.7425206899642944
1782455495764596700,0.2355966796875,0.10591445118188858,-0.5736961960792542,-0.6241940259933472
1782455495774621700,0.24562158203125,0.015970448032021523,-0.17686551809310913,-0.5401502847671509
1782455495784646700,0.255646728515625,-0.09199078381061554,0.29547348618507385,-0.45944562554359436
1782455495794670600,0.265670654296875,-0.20230050384998322,0.6003811955451965,-0.3208605945110321
1782455495804695600,0.275695556640625,-0.27128931879997253,0.7673624753952026,-0.1617172211408615
1782455495814719700,0.2857197265625,-0.26703333854675293,0.7541561722755432,-0.022391553968191147
1782455495824744700,0.29574462890625,-0.20563821494579315,0.5273271799087524,0.07722350209951401
1782455495834769700,0.305769775390625,-0.14244993031024933,0.23381438851356506,0.10879474133253098
1782455495844793600,0.315793701171875,-0.10009046643972397,0.08690131455659866,0.06243618205189705
1782455495854818600,0.325818603515625,-0.10126598179340363,0.02888594940304756,-0.005211038514971733
1782455495864842800,0.3358427734375,-0.14203490316867828,0.02007390931248665,-0.10591574758291245
1782455495874867700,0.34586767578125,-0.18180175125598907,0.08245712518692017,-0.18902555108070374
1782455495884892700,0.355892578125,-0.2022990882396698,0.18411403894424438,-0.2231699377298355
1782455495894916900,0.365916748046875,-0.21267662942409515,0.24830926954746246,-0.21238866448402405
1782455495904941600,0.375941650390625,-0.22771862149238586,0.27107730507850647,-0.16303561627864838
1782455495914965500,0.385965576171875,-0.2672353982925415,0.25272199511528015,-0.09405974298715591
1782455495924990700,0.39599072265625,-0.3380008339881897,0.15884852409362793,-0.020607031881809235
1782455495935015700,0.406015625,-0.40694233775138855,0.05985243618488312,0.025235289707779884
1782455495945040000,0.416039794921875,-0.4362541437149048,0.03240610659122467,0.014069072902202606
1782455495955064800,0.42606494140625,-0.434298574924469,0.0020956038497388363,-0.06642976403236389
1782455495965088500,0.436088623046875,-0.42072537541389465,-0.04502972587943077,-0.2060905545949936
1782455495975113700,0.44611376953125,-0.3773488998413086,-0.07269357889890671,-0.37828949093818665
1782455495985138700,0.456138671875,-0.2815650403499603,0.00604258431121707,-0.5523882508277893
1782455495995162600,0.46616259765625,-0.13075290620326996,0.15497933328151703,-0.6205673217773438
1782455496005187800,0.476187744140625,0.04916238784790039,0.11983223259449005,-0.5017871260643005
1782455496015211500,0.48621142578125,0.12074389308691025,0.04291560873389244,-0.2624853849411011
1782455496025236500,0.496236572265625,0.08571749925613403,0.1604544222354889,-0.048276789486408234
1782455496035261700,0.50626171875,0.019099853932857513,0.3003090023994446,0.08419310301542282
1782455496045285600,0.51628564453125,-0.0293682049959898,0.23917058110237122,0.11861717700958252
1782455496055310800,0.526310791015625,-0.020062321797013283,0.07478217035531998,0.08250631392002106
1782455496065334500,0.53633447265625,0.004354945383965969,-0.057638902217149734,0.021992549300193787
1782455496075359500,0.546359375,0.004920068196952343,-0.1417817324399948,-0.057211194187402725
1782455496085384700,0.556384765625,-0.018686097115278244,-0.17195305228233337,-0.15308444201946259
1782455496095408600,0.56640869140625,-0.03539903089404106,-0.15429896116256714,-0.24725888669490814
1782455496105433600,0.57643359375,-0.03447442501783371,-0.12874063849449158,-0.32480159401893616
1782455496115457800,0.586457763671875,-0.01757906563580036,-0.1146618202328682,-0.3666587769985199
1782455496125482500,0.596482421875,-0.004037224687635899,-0.06353873759508133,-0.3670387268066406
1782455496135507500,0.606507568359375,0.007881753146648407,0.025350650772452354,-0.31807225942611694
1782455496145531600,0.61653173828125,0.03514331951737404,0.10707917809486389,-0.21956895291805267
1782455496155556600,0.626556640625,0.07537143677473068,0.16572943329811096,-0.09079474210739136
1782455496165580800,0.636580810546875,0.11189832538366318,0.19681526720523834,0.0467354953289032
1782455496175605800,0.646605712890625,0.13927961885929108,0.21271513402462006,0.16985130310058594
1782455496185630500,0.65663037109375,0.15391689538955688,0.21579407155513763,0.2649364769458771
1782455496195654700,0.666654541015625,0.16068850457668304,0.22106926143169403,0.3153996467590332
1782455496205679600,0.6766796875,0.13465014100074768,0.15000972151756287,0.3256057798862457
1782455496215703800,0.686703857421875,0.08183539658784866,0.08358807116746902,0.30152174830436707
1782455496225728800,0.696728759765625,0.05889581888914108,-0.06901142001152039,0.2649131417274475
1782455496235753700,0.706753662109375,0.08512502908706665,-0.233004629611969,0.24181075394153595
1782455496245777700,0.716777587890625,0.11529999226331711,-0.2756935656070709,0.2683679461479187
1782455496255802600,0.726802734375,0.1371605545282364,-0.19808904826641083,0.3822367191314697
1782455496265826800,0.736826904296875,0.16149426996707916,-0.09705714136362076,0.5665582418441772
1782455496275851800,0.746851806640625,0.19752603769302368,0.051116883754730225,0.7662891745567322
1782455496285876700,0.756876708984375,0.20400169491767883,0.24315866827964783,0.8539064526557922
1782455496295900700,0.766900634765625,0.15048228204250336,0.3687981069087982,0.7102398872375488
1782455496305925600,0.776925537109375,0.06100380793213844,0.3600502014160156,0.2735128104686737
1782455496315949600,0.786949462890625,-0.040858108550310135,0.22351552546024323,-0.4572143852710724
1782455496325974800,0.796974853515625,-0.1553613841533661,-0.016686977818608284,-1.244109034538269
1782455496335999700,0.806999755859375,-0.2682107090950012,-0.3243845999240875,-1.7812864780426025
1782455496346023700,0.817023681640625,-0.3103605806827545,-0.5900368690490723,-1.7702966928482056
1782455496356048600,0.827048583984375,-0.25076037645339966,-0.6041612029075623,-1.1506203413009644
1782455496366072600,0.837072509765625,-0.19507448375225067,-0.3741159439086914,-0.1799919754266739
1782455496376097800,0.847097900390625,-0.21228621900081635,-0.013548454269766808,0.7440096139907837
1782455496386123000,0.857123046875,-0.2738402187824249,0.25842684507369995,1.2521264553070068
1782455496396147000,0.86714697265625,-0.3035736083984375,0.2482019066810608,1.1696665287017822
1782455496406172200,0.877172119140625,-0.31638452410697937,-0.003864102764055133,0.6810770034790039
1782455496416196000,0.887196044921875,-0.3255434036254883,-0.31700602173805237,0.09475415199995041
1782455496426220800,0.897220703125,-0.31898176670074463,-0.5473884344100952,-0.3711206614971161
1782455496436246000,0.90724609375,-0.3015380799770355,-0.6699665188789368,-0.6843667030334473
1782455496446270000,0.91727001953125,-0.2656160891056061,-0.6781581044197083,-0.9412072896957397
1782455496456295000,0.927294921875,-0.18923582136631012,-0.5821660757064819,-1.1743947267532349
1782455496466320100,0.937320068359375,-0.06545209139585495,-0.3444487452507019,-1.3462814092636108
1782455496476344000,0.947343994140625,0.07907100021839142,-0.03156755119562149,-1.4386110305786133
1782455496486368800,0.95736865234375,0.17199984192848206,0.20966343581676483,-1.4172759056091309
1782455496496393000,0.96739306640625,0.1462675780057907,0.17072217166423798,-1.3496875762939453
1782455496506418000,0.97741796875,0.015008397400379181,-0.049944959580898285,-1.3191264867782593
1782455496516443100,0.987443115234375,-0.18798546493053436,-0.3008168637752533,-1.2337055206298828
1782455496526467000,0.997467041015625,-0.4184817373752594,-0.5721845626831055,-1.0047391653060913
1782455496536492000,1.007491943359375,-0.589652419090271,-0.787845253944397,-0.6496145725250244
1782455496546516000,1.017515869140625,-0.6505438089370728,-0.8615297079086304,-0.18574203550815582
1782455496556541000,1.027541015625,-0.5797159671783447,-0.8464346528053284,0.32406795024871826
1782455496566566000,1.03756591796875,-0.3931514024734497,-0.7902824282646179,0.7729623913764954
